gqa,okvqa,vqav2,aokvqa,avg,name
56.96454126252186,54.8,73.89,72.13973799126637,64.44856981344705,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_PRE_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0408
59.62792176816664,55.46,75.05,73.7117903930131,65.96242804029492,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_PRE_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0408
60.42296072507553,56.04,76.18,71.9650655021834,66.15200655681474,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_PRE_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0408
61.36905708379711,57.81,76.75,74.8471615720524,67.69405466396238,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_PRE_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0408
62.299252663380514,58.01,77.81,73.53711790393012,67.91409264182766,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_PRE_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0408
62.82397837494037,57.25,78.43,74.67248908296943,68.29411686447745,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_PRE_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0408
63.19764668468755,58.89,78.93,74.75982532751092,68.94436800304962,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_PRE_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0408
63.16584512641119,58.56,79.53,73.7117903930131,68.74190887985608,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_PRE_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0408
63.48386070917474,58.16,79.75,73.62445414847161,68.7545787144116,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_PRE_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0408
63.69057083797106,58.34,79.83,73.27510917030567,68.78392000206918,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_PRE_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0408
