gqa,okvqa,vqav2,aokvqa,avg
57.0122435999364,54.2,74.05,71.9650655021834,64.30682727552995
60.065193194466524,55.18,75.18,72.48908296943232,65.72856904097472
60.87613293051359,57.05,75.99,73.01310043668123,66.7323083417987
61.69502305612975,58.69,76.81,73.7991266375546,67.74853742342108
62.291302273811425,58.12,77.73,73.44978165938865,67.89777098330002
62.56956590872953,57.97,78.35,73.01310043668123,67.97566658635269
63.17379551598028,59.22,78.91,73.53711790393012,68.7102283549776
63.46000954046749,57.9,79.42,73.53711790393012,68.5792818610994
63.77802512323104,58.46,79.58,73.36244541484717,68.79511763451956
63.83367785021466,58.36,79.73,73.62445414847161,68.88703299967158
