gqa,okvqa,vqav2,aokvqa,avg
56.75783113372555,54.51,73.98,71.87772925764192,64.28139009784186
59.98568929877563,55.07,75.3,72.48908296943232,65.711193067052
60.88408332008268,56.75,76.03,73.97379912663754,66.90947061168006
61.75067578311337,57.82,76.87,73.97379912663754,67.60361872743772
62.442359675624104,57.72,77.97,73.53711790393012,67.91736939488857
62.8716807123549,57.88,78.51,73.97379912663754,68.30886995974811
63.308952138654796,58.55,79.09,74.235807860262,68.7961899997292
63.547463825727455,57.86,79.61,74.67248908296943,68.92248822717423
63.809826681507396,58.42,79.81,74.49781659388647,69.13441081884847
63.722372396247415,57.87,79.93,74.32314410480349,68.96137912526272
