gqa,okvqa,vqav2,aokvqa,avg
56.726029575449196,54.51,73.9,71.9650655021834,64.27527376940814
59.5802194307521,55.89,75.12,72.83842794759825,65.8571618445876
60.605819685164576,56.41,75.93,74.06113537117905,66.7517387640859
61.43266020034982,57.36,76.65,73.1004366812227,67.13577422039313
62.32310383208777,57.71,77.76,74.235807860262,68.00722792308744
62.80807759580219,58.29,78.22,73.7117903930131,68.25746699720382
63.07839084115122,58.6,78.88,74.235807860262,68.6985496753533
63.722372396247415,58.5,79.24,74.67248908296943,69.03371536980421
63.89728096676737,58.97,79.44,73.88646288209607,69.04843596221586
63.84957862935284,58.62,79.56,73.88646288209607,68.97901037786222
